# Calibration Data Export
# Calibration ID: 16-10-24
# Date: 2025-07-08
# Gas Concentration: 61.0 ppm
# Mean Peak Area: 293426.6 µV*s
# Standard Deviation: 1216.2 µV*s
# CV%: 0.41%
# Quality Score: 100.0/100
#
Run,Timestamp,Peak_Area_µVs,Peak_Height_µV,Outlier_Flag
2,1729097422,293203.81250,51486.83594,
3,1729097741,293789.40625,51578.15625,
4,1729098062,292455.90625,51444.61328,
5,1729098382,291708.71875,51469.84766,
6,1729098702,294305.68750,51962.57031,
7,1729099018,293591.28125,51659.82422,
8,1729099336,294138.34375,51752.07812,
9,1729099656,293983.56250,51643.51562,
10,1729099976,295493.03125,52087.75391,
24,1729097102,291596.37500,51469.66016,
