# TDA Hydrogen Analysis Results - Generated by TDA Analysis System
# Generated: 2025-07-13T11:07:33.755001
#
# === EXPERIMENT INFORMATION ===
# Experiment Name: 23_7_06_MSc2_316_50mA_12hrs_RT 2023-07-06 07-53-57
# Source Folder: C:/Users/matth/OneDrive - The University of Manchester/PhD/Second year progress report/My data/TDA/23_7_06_MSc2_316_50mA_12hrs_RT 2023-07-06 07-53-57
# Extraction Date: 2025-07-13T11:07:33.755001
# Operator: SYSTEM
#
# === SAMPLE PARAMETERS ===
# Sample Weight: 1.0 g
# Flow Rate: 20.0 ml/min
# Cycle Time: 4.0 minutes
#
# === DATA QUALITY SUMMARY ===
# Total Runs Attempted: 69
# Successful Runs: 69
# Failed Runs: 0
# Data Quality Score: Excellent (100.0% success rate)
#
# === CALCULATED RESULTS SUMMARY ===
# Total Hydrogen Released: 0.000125 ppm
# Maximum Evolution Rate: 0.00000072 ppm/min
# Average Evolution Rate: 0.00000045 ppm/min
# Experiment Duration: 272.0 minutes (4.53 hours)
#
# === COLUMN DEFINITIONS ===
# Run: Sequential run number from GC analysis
# Timestamp: Date and time of measurement (MM/DD/YYYY HH:MM:SS)
# Time_minutes: Minutes elapsed from start of experiment
# Peak_Area_µVs: Raw peak area from chromatograph (µV*s)
# Peak_Height_µV: Raw peak height from chromatograph (µV)
# H_ppm_per_min: Calculated hydrogen evolution rate (ppm/min)
# H_ppm_over_cycle: Hydrogen evolved during this cycle (ppm)
# Cumulative_H_ppm: Total cumulative hydrogen evolved (ppm)
# Quality_Flags: Data quality indicators (outlier, low_signal, etc.)
#
Run,Timestamp,Time_minutes,Peak_Area_µVs,Peak_Height_µV,H_ppm_per_min,H_ppm_over_cycle,Cumulative_H_ppm,Quality_Flags
1,1 06/07/2023,0.00,0.59843,0.00000,0.00000022,0.00000087,0.00000087,low_signal
2,2 06/07/2023,4.00,1.18374,0.00000,0.00000043,0.00000172,0.00000260,low_signal
3,3 06/07/2023,8.00,1.71410,0.00000,0.00000062,0.00000250,0.00000509,low_signal
4,4 06/07/2023,12.00,1.84107,0.00000,0.00000067,0.00000268,0.00000777,low_signal
5,5 06/07/2023,16.00,1.89703,0.00000,0.00000069,0.00000276,0.00001054,low_signal
6,6 06/07/2023,20.00,1.63103,0.00000,0.00000059,0.00000238,0.00001291,low_signal
7,7 06/07/2023,24.00,1.64260,0.00000,0.00000060,0.00000239,0.00001530,low_signal
8,8 06/07/2023,28.00,1.44651,0.00000,0.00000053,0.00000211,0.00001741,low_signal
9,9 06/07/2023,32.00,1.50134,0.00000,0.00000055,0.00000219,0.00001960,low_signal
10,10 06/07/2023,36.00,1.98196,0.00000,0.00000072,0.00000289,0.00002248,low_signal
11,11 06/07/2023,40.00,1.85050,0.00000,0.00000067,0.00000269,0.00002518,low_signal
12,12 06/07/2023,44.00,1.78057,0.00000,0.00000065,0.00000259,0.00002777,low_signal
13,13 06/07/2023,48.00,1.42362,0.00000,0.00000052,0.00000207,0.00002984,low_signal
14,14 06/07/2023,52.00,1.84157,0.00000,0.00000067,0.00000268,0.00003253,low_signal
15,15 06/07/2023,56.00,1.61708,0.00000,0.00000059,0.00000236,0.00003488,low_signal
16,16 06/07/2023,60.00,1.71116,0.00000,0.00000062,0.00000249,0.00003737,low_signal
17,17 06/07/2023,64.00,1.64044,0.00000,0.00000060,0.00000239,0.00003976,low_signal
18,18 06/07/2023,68.00,1.56810,0.00000,0.00000057,0.00000228,0.00004205,low_signal
19,19 06/07/2023,72.00,1.51018,0.00000,0.00000055,0.00000220,0.00004425,low_signal
20,20 06/07/2023,76.00,1.68104,0.00000,0.00000061,0.00000245,0.00004669,low_signal
21,21 06/07/2023,80.00,1.50478,0.00000,0.00000055,0.00000219,0.00004888,low_signal
22,22 06/07/2023,84.00,1.60891,0.00000,0.00000059,0.00000234,0.00005123,low_signal
23,23 06/07/2023,88.00,1.74527,0.00000,0.00000064,0.00000254,0.00005377,low_signal
24,24 06/07/2023,92.00,1.52673,0.00000,0.00000056,0.00000222,0.00005599,low_signal
25,25 06/07/2023,96.00,1.55291,0.00000,0.00000057,0.00000226,0.00005825,low_signal
26,26 06/07/2023,100.00,1.98217,0.00000,0.00000072,0.00000289,0.00006114,low_signal
27,27 06/07/2023,104.00,1.59734,0.00000,0.00000058,0.00000233,0.00006347,low_signal
28,28 06/07/2023,108.00,1.48940,0.00000,0.00000054,0.00000217,0.00006564,low_signal
29,29 06/07/2023,112.00,1.24715,0.00000,0.00000045,0.00000182,0.00006745,low_signal
30,30 06/07/2023,116.00,1.15970,0.00000,0.00000042,0.00000169,0.00006914,low_signal
31,31 06/07/2023,120.00,1.33680,0.00000,0.00000049,0.00000195,0.00007109,low_signal
32,32 06/07/2023,124.00,0.78387,0.00000,0.00000029,0.00000114,0.00007223,low_signal
33,33 06/07/2023,128.00,1.33047,0.00000,0.00000048,0.00000194,0.00007417,low_signal
34,34 06/07/2023,132.00,1.06870,0.00000,0.00000039,0.00000156,0.00007572,low_signal
35,35 06/07/2023,136.00,0.91806,0.00000,0.00000033,0.00000134,0.00007706,low_signal
36,36 06/07/2023,140.00,1.34713,0.00000,0.00000049,0.00000196,0.00007902,low_signal
37,37 06/07/2023,144.00,0.68381,0.00000,0.00000025,0.00000100,0.00008002,low_signal
38,38 06/07/2023,148.00,1.05311,0.00000,0.00000038,0.00000153,0.00008155,low_signal
39,39 06/07/2023,152.00,0.90636,0.00000,0.00000033,0.00000132,0.00008287,low_signal
40,40 06/07/2023,156.00,1.04363,0.00000,0.00000038,0.00000152,0.00008439,low_signal
41,41 06/07/2023,160.00,1.22444,0.00000,0.00000045,0.00000178,0.00008618,low_signal
42,42 06/07/2023,164.00,1.12109,0.00000,0.00000041,0.00000163,0.00008781,low_signal
43,43 06/07/2023,168.00,1.38988,0.00000,0.00000051,0.00000202,0.00008983,low_signal
44,44 06/07/2023,172.00,0.58829,0.00000,0.00000021,0.00000086,0.00009069,low_signal
45,45 06/07/2023,176.00,1.29419,0.00000,0.00000047,0.00000188,0.00009257,low_signal
46,46 06/07/2023,180.00,0.98765,0.00000,0.00000036,0.00000144,0.00009401,low_signal
47,47 06/07/2023,184.00,1.25740,0.00000,0.00000046,0.00000183,0.00009584,low_signal
48,48 06/07/2023,188.00,0.98498,0.00000,0.00000036,0.00000143,0.00009728,low_signal
49,49 06/07/2023,192.00,0.91006,0.00000,0.00000033,0.00000133,0.00009860,low_signal
50,50 06/07/2023,196.00,1.06591,0.00000,0.00000039,0.00000155,0.00010016,low_signal
51,51 06/07/2023,200.00,0.93213,0.00000,0.00000034,0.00000136,0.00010151,low_signal
52,52 06/07/2023,204.00,0.96199,0.00000,0.00000035,0.00000140,0.00010291,low_signal
53,53 06/07/2023,208.00,1.24968,0.00000,0.00000045,0.00000182,0.00010473,low_signal
54,54 06/07/2023,212.00,0.79136,0.00000,0.00000029,0.00000115,0.00010589,low_signal
55,55 06/07/2023,216.00,0.58926,0.00000,0.00000021,0.00000086,0.00010675,low_signal
56,56 06/07/2023,220.00,1.13994,0.00000,0.00000042,0.00000166,0.00010841,low_signal
57,57 06/07/2023,224.00,0.90879,0.00000,0.00000033,0.00000132,0.00010973,low_signal
58,58 06/07/2023,228.00,0.93117,0.00000,0.00000034,0.00000136,0.00011109,low_signal
59,59 06/07/2023,232.00,0.85333,0.00000,0.00000031,0.00000124,0.00011233,low_signal
60,60 06/07/2023,236.00,0.91508,0.00000,0.00000033,0.00000133,0.00011366,low_signal
61,61 06/07/2023,240.00,1.07922,0.00000,0.00000039,0.00000157,0.00011523,low_signal
62,62 06/07/2023,244.00,0.94887,0.00000,0.00000035,0.00000138,0.00011661,low_signal
63,63 06/07/2023,248.00,0.90036,0.00000,0.00000033,0.00000131,0.00011793,low_signal
64,64 06/07/2023,252.00,0.70434,0.00000,0.00000026,0.00000103,0.00011895,low_signal
65,65 06/07/2023,256.00,1.01502,0.00000,0.00000037,0.00000148,0.00012043,low_signal
66,66 06/07/2023,260.00,0.82452,0.00000,0.00000030,0.00000120,0.00012163,low_signal
67,67 06/07/2023,264.00,1.11431,0.00000,0.00000041,0.00000162,0.00012325,low_signal
68,68 06/07/2023,268.00,0.65680,0.00000,0.00000024,0.00000096,0.00012421,low_signal
69,69 06/07/2023,272.00,0.75563,0.00000,0.00000028,0.00000110,0.00012531,low_signal
