# TDA Hydrogen Analysis Results - Generated by TDA Analysis System
# Generated: 2025-07-13T12:29:39.377070
#
# === EXPERIMENT INFORMATION ===
# Experiment Name: 23_7_06_MSc2_316_50mA_12hrs_RT 2023-07-06 07-53-57
# Source Folder: C:/Users/matth/OneDrive - The University of Manchester/PhD/Second year progress report/My data/TDA/23_7_06_MSc2_316_50mA_12hrs_RT 2023-07-06 07-53-57
# Extraction Date: 2025-07-13T12:29:39.376070
# Operator: SYSTEM
#
# === SAMPLE PARAMETERS ===
# Sample Weight: 5.0 g
# Flow Rate: 20.0 ml/min
# Cycle Time: 4.0 minutes
#
# === DATA QUALITY SUMMARY ===
# Total Runs Attempted: 69
# Successful Runs: 69
# Failed Runs: 0
# Data Quality Score: Excellent (100.0% success rate)
#
# === CALCULATED RESULTS SUMMARY ===
# Total Hydrogen Released: 0.000026 ppm
# Maximum Evolution Rate: 0.00000015 ppm/min
# Average Evolution Rate: 0.00000009 ppm/min
# Experiment Duration: 272.0 minutes (4.53 hours)
#
# === COLUMN DEFINITIONS ===
# Run: Sequential run number from GC analysis
# Timestamp: Date and time of measurement (MM/DD/YYYY HH:MM:SS)
# Time_minutes: Minutes elapsed from start of experiment
# Peak_Area_µVs: Raw peak area from chromatograph (µV*s)
# Peak_Height_µV: Raw peak height from chromatograph (µV)
# H_ppm_per_min: Calculated hydrogen evolution rate (ppm/min)
# H_ppm_over_cycle: Hydrogen evolved during this cycle (ppm)
# Cumulative_H_ppm: Total cumulative hydrogen evolved (ppm)
# Quality_Flags: Data quality indicators (outlier, low_signal, etc.)
#
Run,Timestamp,Time_minutes,Peak_Area_µVs,Peak_Height_µV,H_ppm_per_min,H_ppm_over_cycle,Cumulative_H_ppm,Quality_Flags
1,1 06/07/2023,0.00,0.59843,0.00000,0.00000004,0.00000018,0.00000018,low_signal
2,2 06/07/2023,4.00,1.18374,0.00000,0.00000009,0.00000035,0.00000053,low_signal
3,3 06/07/2023,8.00,1.71410,0.00000,0.00000013,0.00000051,0.00000104,low_signal
4,4 06/07/2023,12.00,1.84107,0.00000,0.00000014,0.00000055,0.00000159,low_signal
5,5 06/07/2023,16.00,1.89703,0.00000,0.00000014,0.00000056,0.00000215,low_signal
6,6 06/07/2023,20.00,1.63103,0.00000,0.00000012,0.00000048,0.00000263,low_signal
7,7 06/07/2023,24.00,1.64260,0.00000,0.00000012,0.00000049,0.00000312,low_signal
8,8 06/07/2023,28.00,1.44651,0.00000,0.00000011,0.00000043,0.00000355,low_signal
9,9 06/07/2023,32.00,1.50134,0.00000,0.00000011,0.00000045,0.00000400,low_signal
10,10 06/07/2023,36.00,1.98196,0.00000,0.00000015,0.00000059,0.00000458,low_signal
11,11 06/07/2023,40.00,1.85050,0.00000,0.00000014,0.00000055,0.00000513,low_signal
12,12 06/07/2023,44.00,1.78057,0.00000,0.00000013,0.00000053,0.00000566,low_signal
13,13 06/07/2023,48.00,1.42362,0.00000,0.00000011,0.00000042,0.00000609,low_signal
14,14 06/07/2023,52.00,1.84157,0.00000,0.00000014,0.00000055,0.00000663,low_signal
15,15 06/07/2023,56.00,1.61708,0.00000,0.00000012,0.00000048,0.00000711,low_signal
16,16 06/07/2023,60.00,1.71116,0.00000,0.00000013,0.00000051,0.00000762,low_signal
17,17 06/07/2023,64.00,1.64044,0.00000,0.00000012,0.00000049,0.00000811,low_signal
18,18 06/07/2023,68.00,1.56810,0.00000,0.00000012,0.00000047,0.00000857,low_signal
