# TDA Hydrogen Analysis Results - Generated by TDA Analysis System
# Generated: 2025-07-13T12:29:35.258513
#
# === EXPERIMENT INFORMATION ===
# Experiment Name: WRAY 500MIN EXTRUN 2024-08-17 12-01-08
# Source Folder: C:/Users/matth/OneDrive - The University of Manchester/PhD/Second year progress report/My data/TDA/WRAY 500MIN EXTRUN 2024-08-17 12-01-08
# Extraction Date: 2025-07-13T12:29:35.257513
# Operator: SYSTEM
#
# === SAMPLE PARAMETERS ===
# Sample Weight: 5.0 g
# Flow Rate: 20.0 ml/min
# Cycle Time: 4.0 minutes
#
# === DATA QUALITY SUMMARY ===
# Total Runs Attempted: 315
# Successful Runs: 300
# Failed Runs: 15
# Missing Run Numbers: 301,302,303,304,305,306,307,308,309,310,311,312,313,314,315
# Data Quality Score: Excellent (95.2% success rate)
#
# === CALCULATED RESULTS SUMMARY ===
# Total Hydrogen Released: 0.800262 ppm
# Maximum Evolution Rate: 0.03680271 ppm/min
# Average Evolution Rate: 0.00066688 ppm/min
# Experiment Duration: 1196.0 minutes (19.93 hours)
#
# === COLUMN DEFINITIONS ===
# Run: Sequential run number from GC analysis
# Timestamp: Date and time of measurement (MM/DD/YYYY HH:MM:SS)
# Time_minutes: Minutes elapsed from start of experiment
# Peak_Area_µVs: Raw peak area from chromatograph (µV*s)
# Peak_Height_µV: Raw peak height from chromatograph (µV)
# H_ppm_per_min: Calculated hydrogen evolution rate (ppm/min)
# H_ppm_over_cycle: Hydrogen evolved during this cycle (ppm)
# Cumulative_H_ppm: Total cumulative hydrogen evolved (ppm)
# Quality_Flags: Data quality indicators (outlier, low_signal, etc.)
#
Run,Timestamp,Time_minutes,Peak_Area_µVs,Peak_Height_µV,H_ppm_per_min,H_ppm_over_cycle,Cumulative_H_ppm,Quality_Flags
2,1723892818,0.00,25025.74414,3808.59375,0.00185794,0.00743176,0.00743176,
3,1723893136,4.00,25066.98633,3801.89648,0.00186100,0.00744400,0.01487576,
4,1723893455,8.00,25513.50391,3918.90430,0.00189415,0.00757660,0.02245237,
5,1723893778,12.00,25955.91797,3919.17212,0.00192700,0.00770799,0.03016035,
6,1723894096,16.00,25115.42969,3844.42188,0.00186460,0.00745839,0.03761874,
7,1723894416,20.00,24584.47461,3798.36230,0.00182518,0.00730072,0.04491946,
8,1723894735,24.00,25004.34180,3848.41504,0.00185635,0.00742540,0.05234486,
9,1723895054,28.00,25313.44531,3850.61719,0.00187930,0.00751719,0.05986205,
10,1723895373,32.00,24976.05273,3767.17896,0.00185425,0.00741700,0.06727905,
11,1723895693,36.00,25714.43164,3787.53784,0.00190907,0.00763627,0.07491533,
12,1723896011,40.00,23899.18164,3638.12671,0.00177430,0.00709721,0.08201253,
13,1723896330,44.00,24029.07812,3694.02759,0.00178395,0.00713578,0.08914832,
14,1723896650,48.00,434801.37500,61806.26953,0.03228014,0.12912056,0.21826888,
15,1723896969,52.00,495718.71875,61791.04297,0.03680271,0.14721085,0.36547973,
16,1723897288,56.00,442884.15625,61848.27734,0.03288022,0.13152086,0.49700059,
17,1723897606,60.00,354462.96875,61748.71875,0.02631573,0.10526291,0.60226350,
18,1723897925,64.00,229267.68750,40419.50781,0.01702109,0.06808436,0.67034786,
19,1723898244,68.00,126977.27344,21556.79492,0.00942693,0.03770774,0.70805560,
20,1723898563,72.00,66813.64844,10749.18164,0.00496032,0.01984128,0.72789688,
21,1723898882,76.00,36863.14062,5715.88135,0.00273676,0.01094704,0.73884392,
22,1723899201,80.00,22788.11914,3433.91333,0.00169182,0.00676726,0.74561118,
23,1723899519,84.00,14509.57617,2262.52368,0.00107721,0.00430883,0.74992001,
24,1723899838,88.00,11080.64648,1683.52502,0.00082264,0.00329056,0.75321057,
25,1723900157,92.00,8981.73730,1352.73523,0.00066681,0.00266726,0.75587782,
26,1723900476,96.00,8161.55957,1180.51599,0.00060592,0.00242369,0.75830152,
27,1723900795,100.00,7163.97852,1049.81738,0.00053186,0.00212745,0.76042897,
28,1723901116,104.00,5924.55957,836.47980,0.00043985,0.00175938,0.76218835,
29,1723901435,108.00,4812.82764,719.91888,0.00035731,0.00142924,0.76361759,
30,1723901754,112.00,4967.28418,684.97308,0.00036878,0.00147511,0.76509269,
31,1723902074,116.00,4274.07178,573.66382,0.00031731,0.00126925,0.76636194,
32,1723902393,120.00,5134.18799,616.55127,0.00038117,0.00152467,0.76788661,
33,1723902713,124.00,4449.44678,625.86865,0.00033033,0.00132133,0.76920794,
34,1723903032,128.00,2842.82617,447.46552,0.00021105,0.00084422,0.77005216,
35,1723903350,132.00,3496.04199,436.62173,0.00025955,0.00103820,0.77109036,
36,1723903670,136.00,4206.92139,479.64801,0.00031233,0.00124931,0.77233967,
37,1723903988,140.00,3123.93555,455.04474,0.00023192,0.00092770,0.77326736,
38,,144.00,2.00000,0.00000,0.00000015,0.00000059,0.77326796,low_signal
39,1723904627,148.00,3191.39233,375.48239,0.00023693,0.00094773,0.77421569,
40,1723904947,152.00,3059.12061,388.97342,0.00022711,0.00090845,0.77512414,
41,1723905265,156.00,2744.33545,323.50146,0.00020374,0.00081497,0.77593911,
42,1723905585,160.00,2707.15503,399.16968,0.00020098,0.00080393,0.77674304,
43,1723905903,164.00,1440.24048,263.24213,0.00010693,0.00042770,0.77717074,
44,1723906222,168.00,1758.46851,321.73190,0.00013055,0.00052220,0.77769294,
45,1723906541,172.00,1897.33020,317.65842,0.00014086,0.00056344,0.77825638,
46,1723906860,176.00,2536.47778,338.88800,0.00018831,0.00075324,0.77900962,
47,1723907179,180.00,2519.38867,341.49460,0.00018704,0.00074817,0.77975779,
48,1723907498,184.00,1172.83142,274.39523,0.00008707,0.00034829,0.78010608,
49,1723907817,188.00,3010.02686,325.57614,0.00022347,0.00089387,0.78099995,
50,1723908136,192.00,2308.29858,345.59229,0.00017137,0.00068548,0.78168544,
51,1723908455,196.00,1078.98340,249.62309,0.00008010,0.00032042,0.78200586,
52,,200.00,2.00000,0.00000,0.00000015,0.00000059,0.78200645,low_signal
53,,204.00,2.00000,0.00000,0.00000015,0.00000059,0.78200704,low_signal
54,1723909412,208.00,2632.68433,311.19135,0.00019545,0.00078181,0.78278886,
55,1723909731,212.00,700.98926,232.28424,0.00005204,0.00020817,0.78299703,
56,1723910051,216.00,2490.64282,300.49432,0.00018491,0.00073963,0.78373666,
57,,220.00,2.00000,0.00000,0.00000015,0.00000059,0.78373725,low_signal
58,,224.00,2.00000,0.00000,0.00000015,0.00000059,0.78373785,low_signal
59,,228.00,2.00000,0.00000,0.00000015,0.00000059,0.78373844,low_signal
60,1723911326,232.00,1331.94812,252.13977,0.00009889,0.00039554,0.78413398,
61,1723911645,236.00,1985.55237,217.54137,0.00014741,0.00058964,0.78472362,
62,,240.00,2.00000,0.00000,0.00000015,0.00000059,0.78472421,low_signal
63,,244.00,2.00000,0.00000,0.00000015,0.00000059,0.78472481,low_signal
64,1723912602,248.00,1558.29004,203.28856,0.00011569,0.00046276,0.78518756,
65,,252.00,2.00000,0.00000,0.00000015,0.00000059,0.78518816,low_signal
66,,256.00,2.00000,0.00000,0.00000015,0.00000059,0.78518875,low_signal
67,,260.00,2.00000,0.00000,0.00000015,0.00000059,0.78518935,low_signal
68,,264.00,2.00000,0.00000,0.00000015,0.00000059,0.78518994,low_signal
69,1723914198,268.00,969.76825,217.01276,0.00007200,0.00028799,0.78547793,
70,1723914517,272.00,886.52393,210.82024,0.00006582,0.00026327,0.78574119,
71,1723914836,276.00,984.61090,236.44508,0.00007310,0.00029239,0.78603359,
72,,280.00,2.00000,0.00000,0.00000015,0.00000059,0.78603418,low_signal
73,1723915473,284.00,2054.40527,236.59305,0.00015252,0.00061009,0.78664427,
74,,288.00,2.00000,0.00000,0.00000015,0.00000059,0.78664486,low_signal
75,1723916112,292.00,630.97479,212.61865,0.00004684,0.00018738,0.78683224,
76,1723916431,296.00,1936.78589,238.63997,0.00014379,0.00057516,0.78740739,
77,1723916749,300.00,902.90967,220.52556,0.00006703,0.00026813,0.78767553,
78,,304.00,2.00000,0.00000,0.00000015,0.00000059,0.78767612,low_signal
79,,308.00,2.00000,0.00000,0.00000015,0.00000059,0.78767671,low_signal
80,,312.00,2.00000,0.00000,0.00000015,0.00000059,0.78767731,low_signal
81,,316.00,2.00000,0.00000,0.00000015,0.00000059,0.78767790,low_signal
82,,320.00,2.00000,0.00000,0.00000015,0.00000059,0.78767850,low_signal
83,,324.00,2.00000,0.00000,0.00000015,0.00000059,0.78767909,low_signal
84,,328.00,2.00000,0.00000,0.00000015,0.00000059,0.78767968,low_signal
85,,332.00,2.00000,0.00000,0.00000015,0.00000059,0.78768028,low_signal
86,,336.00,2.00000,0.00000,0.00000015,0.00000059,0.78768087,low_signal
87,,340.00,2.00000,0.00000,0.00000015,0.00000059,0.78768147,low_signal
88,,344.00,2.00000,0.00000,0.00000015,0.00000059,0.78768206,low_signal
89,1723920580,348.00,1561.68262,236.51314,0.00011594,0.00046376,0.78814582,
90,,352.00,2.00000,0.00000,0.00000015,0.00000059,0.78814642,low_signal
91,,356.00,2.00000,0.00000,0.00000015,0.00000059,0.78814701,low_signal
92,1723921539,360.00,2038.96130,242.14027,0.00015137,0.00060550,0.78875251,
93,,364.00,2.00000,0.00000,0.00000015,0.00000059,0.78875310,low_signal
94,,368.00,2.00000,0.00000,0.00000015,0.00000059,0.78875370,low_signal
95,,372.00,2.00000,0.00000,0.00000015,0.00000059,0.78875429,low_signal
96,,376.00,2.00000,0.00000,0.00000015,0.00000059,0.78875489,low_signal
97,,380.00,2.00000,0.00000,0.00000015,0.00000059,0.78875548,low_signal
98,,384.00,2.00000,0.00000,0.00000015,0.00000059,0.78875607,low_signal
99,,388.00,2.00000,0.00000,0.00000015,0.00000059,0.78875667,low_signal
100,,392.00,2.00000,0.00000,0.00000015,0.00000059,0.78875726,low_signal
101,,396.00,2.00000,0.00000,0.00000015,0.00000059,0.78875786,low_signal
102,,400.00,2.00000,0.00000,0.00000015,0.00000059,0.78875845,low_signal
103,,404.00,2.00000,0.00000,0.00000015,0.00000059,0.78875904,low_signal
104,,408.00,2.00000,0.00000,0.00000015,0.00000059,0.78875964,low_signal
105,,412.00,2.00000,0.00000,0.00000015,0.00000059,0.78876023,low_signal
106,,416.00,2.00000,0.00000,0.00000015,0.00000059,0.78876083,low_signal
107,,420.00,2.00000,0.00000,0.00000015,0.00000059,0.78876142,low_signal
108,,424.00,2.00000,0.00000,0.00000015,0.00000059,0.78876201,low_signal
109,,428.00,2.00000,0.00000,0.00000015,0.00000059,0.78876261,low_signal
110,,432.00,2.00000,0.00000,0.00000015,0.00000059,0.78876320,low_signal
111,,436.00,2.00000,0.00000,0.00000015,0.00000059,0.78876380,low_signal
112,,440.00,2.00000,0.00000,0.00000015,0.00000059,0.78876439,low_signal
113,,444.00,2.00000,0.00000,0.00000015,0.00000059,0.78876498,low_signal
114,,448.00,2.00000,0.00000,0.00000015,0.00000059,0.78876558,low_signal
115,,452.00,2.00000,0.00000,0.00000015,0.00000059,0.78876617,low_signal
116,,456.00,2.00000,0.00000,0.00000015,0.00000059,0.78876677,low_signal
117,,460.00,2.00000,0.00000,0.00000015,0.00000059,0.78876736,low_signal
118,,464.00,2.00000,0.00000,0.00000015,0.00000059,0.78876795,low_signal
119,,468.00,2.00000,0.00000,0.00000015,0.00000059,0.78876855,low_signal
120,,472.00,2.00000,0.00000,0.00000015,0.00000059,0.78876914,low_signal
121,,476.00,2.00000,0.00000,0.00000015,0.00000059,0.78876973,low_signal
122,,480.00,2.00000,0.00000,0.00000015,0.00000059,0.78877033,low_signal
123,1723931453,484.00,1347.70251,218.34039,0.00010005,0.00040022,0.78917055,
124,,488.00,2.00000,0.00000,0.00000015,0.00000059,0.78917114,low_signal
125,,492.00,2.00000,0.00000,0.00000015,0.00000059,0.78917174,low_signal
126,1723932407,496.00,1013.43408,205.52879,0.00007524,0.00030095,0.78947269,
127,,500.00,2.00000,0.00000,0.00000015,0.00000059,0.78947328,low_signal
128,,504.00,2.00000,0.00000,0.00000015,0.00000059,0.78947388,low_signal
129,,508.00,2.00000,0.00000,0.00000015,0.00000059,0.78947447,low_signal
130,,512.00,2.00000,0.00000,0.00000015,0.00000059,0.78947507,low_signal
131,,516.00,2.00000,0.00000,0.00000015,0.00000059,0.78947566,low_signal
132,,520.00,2.00000,0.00000,0.00000015,0.00000059,0.78947625,low_signal
133,,524.00,2.00000,0.00000,0.00000015,0.00000059,0.78947685,low_signal
134,,528.00,2.00000,0.00000,0.00000015,0.00000059,0.78947744,low_signal
135,,532.00,2.00000,0.00000,0.00000015,0.00000059,0.78947804,low_signal
136,,536.00,2.00000,0.00000,0.00000015,0.00000059,0.78947863,low_signal
137,,540.00,2.00000,0.00000,0.00000015,0.00000059,0.78947922,low_signal
138,,544.00,2.00000,0.00000,0.00000015,0.00000059,0.78947982,low_signal
139,,548.00,2.00000,0.00000,0.00000015,0.00000059,0.78948041,low_signal
140,,552.00,2.00000,0.00000,0.00000015,0.00000059,0.78948101,low_signal
141,,556.00,2.00000,0.00000,0.00000015,0.00000059,0.78948160,low_signal
142,,560.00,2.00000,0.00000,0.00000015,0.00000059,0.78948219,low_signal
143,,564.00,2.00000,0.00000,0.00000015,0.00000059,0.78948279,low_signal
144,,568.00,2.00000,0.00000,0.00000015,0.00000059,0.78948338,low_signal
145,,572.00,2.00000,0.00000,0.00000015,0.00000059,0.78948398,low_signal
146,,576.00,2.00000,0.00000,0.00000015,0.00000059,0.78948457,low_signal
147,,580.00,2.00000,0.00000,0.00000015,0.00000059,0.78948516,low_signal
148,1723939426,584.00,749.93140,207.40582,0.00005568,0.00022270,0.78970787,
149,1723939745,588.00,2063.04517,275.78989,0.00015316,0.00061265,0.79032052,
150,,592.00,2.00000,0.00000,0.00000015,0.00000059,0.79032111,low_signal
151,,596.00,2.00000,0.00000,0.00000015,0.00000059,0.79032170,low_signal
152,1723940703,600.00,1395.98560,217.99268,0.00010364,0.00041456,0.79073626,
153,,604.00,2.00000,0.00000,0.00000015,0.00000059,0.79073686,low_signal
154,,608.00,2.00000,0.00000,0.00000015,0.00000059,0.79073745,low_signal
155,,612.00,2.00000,0.00000,0.00000015,0.00000059,0.79073804,low_signal
156,,616.00,2.00000,0.00000,0.00000015,0.00000059,0.79073864,low_signal
157,,620.00,2.00000,0.00000,0.00000015,0.00000059,0.79073923,low_signal
158,,624.00,2.00000,0.00000,0.00000015,0.00000059,0.79073983,low_signal
159,,628.00,2.00000,0.00000,0.00000015,0.00000059,0.79074042,low_signal
160,,632.00,2.00000,0.00000,0.00000015,0.00000059,0.79074101,low_signal
161,,636.00,2.00000,0.00000,0.00000015,0.00000059,0.79074161,low_signal
162,,640.00,2.00000,0.00000,0.00000015,0.00000059,0.79074220,low_signal
163,,644.00,2.00000,0.00000,0.00000015,0.00000059,0.79074280,low_signal
164,,648.00,2.00000,0.00000,0.00000015,0.00000059,0.79074339,low_signal
165,,652.00,2.00000,0.00000,0.00000015,0.00000059,0.79074398,low_signal
166,,656.00,2.00000,0.00000,0.00000015,0.00000059,0.79074458,low_signal
167,,660.00,2.00000,0.00000,0.00000015,0.00000059,0.79074517,low_signal
168,1723945808,664.00,2024.30505,215.63094,0.00015029,0.00060115,0.79134632,
169,,668.00,2.00000,0.00000,0.00000015,0.00000059,0.79134691,low_signal
170,,672.00,2.00000,0.00000,0.00000015,0.00000059,0.79134751,low_signal
171,,676.00,2.00000,0.00000,0.00000015,0.00000059,0.79134810,low_signal
172,,680.00,2.00000,0.00000,0.00000015,0.00000059,0.79134869,low_signal
173,,684.00,2.00000,0.00000,0.00000015,0.00000059,0.79134929,low_signal
174,,688.00,2.00000,0.00000,0.00000015,0.00000059,0.79134988,low_signal
175,1723948041,692.00,990.67505,215.17583,0.00007355,0.00029420,0.79164408,
176,,696.00,2.00000,0.00000,0.00000015,0.00000059,0.79164467,low_signal
177,1723948679,700.00,1033.32739,206.57011,0.00007672,0.00030686,0.79195153,
178,,704.00,2.00000,0.00000,0.00000015,0.00000059,0.79195213,low_signal
179,,708.00,2.00000,0.00000,0.00000015,0.00000059,0.79195272,low_signal
180,,712.00,2.00000,0.00000,0.00000015,0.00000059,0.79195331,low_signal
181,,716.00,2.00000,0.00000,0.00000015,0.00000059,0.79195391,low_signal
182,,720.00,2.00000,0.00000,0.00000015,0.00000059,0.79195450,low_signal
183,,724.00,2.00000,0.00000,0.00000015,0.00000059,0.79195510,low_signal
